input_max_length,attention,tag,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,json_kv substring_exact_match,nq substring_exact_match,triviaqa substring_exact_match,hotpotqa substring_exact_match,popqa substring_exact_match,infbench_qa rougeL_f1,infbench_choice exact_match,msmarco_rerank_psg NDCG@10,trec_coarse exact_match,trec_fine exact_match,banking77 exact_match,clinic150 exact_match,nlu exact_match,alce_asqa str_em,alce_asqa citation_rec,alce_asqa citation_prec,alce_qampari qampari_rec_top5,alce_qampari citation_rec,alce_qampari citation_prec,Recall,RAG,ICL,Cite,Re-rank,LongQA,Ours
8192,xflex,xflex_threshold0.9_scoreratio0.9,100.0,100.0,100.0,100.0,61.33333333333333,90.16666666666666,64.66666666666666,62.66666666666667,21.919429959071906,33.0,66.55224390243903,70.19999999999999,46.0,77.0,82.19999999999999,81.0,45.68333333333334,61.776010101010094,52.59797702297702,27.800000000000004,13.734254635843696,15.500424069046884,100.0,69.70833333333333,71.28,36.1819998603685,66.55224390243903,27.459714979535953,61.86371534594613
16384,full,full_flashinfer,100.0,100.0,100.0,100.0,58.333333333333336,90.16666666666666,61.33333333333333,58.833333333333336,28.294206447147623,39.0,51.86632520325203,70.6,54.0,81.6,89.0,85.2,43.20000000000001,41.78221500721501,35.388299916457804,18.0,9.308161512890337,11.244001724110987,100.0,67.16666666666666,76.08,26.487113026779024,51.86632520325203,33.64710322357381,59.207868020045254
16384,xattn,xattn_threshold0.95,100.0,97.0,100.0,100.0,58.5,0.0,0.33333333333333337,0.0,28.96239936534054,39.0,50.71948780487805,71.39999999999999,55.2,81.2,89.4,85.39999999999999,38.65,30.735389610389607,30.83319530710835,13.200000000000001,6.870578274204514,7.168412201819428,99.25,14.708333333333334,76.52000000000001,21.24292923225365,50.71948780487805,33.98119968267027,49.403658342189225
16384,xattn,xattn_threshold0.9,99.0,92.0,100.0,100.0,58.666666666666664,90.66666666666666,60.66666666666667,58.666666666666664,26.652081905023085,41.0,47.69722764227642,71.39999999999999,54.6,81.6,91.0,85.8,0.0,0.0,0.0,0.0,0.0,0.0,97.75,67.16666666666666,76.88000000000001,0.0,47.69722764227642,33.82604095251154,53.88665587690911
16384,flex,flex_gamma0.95_tau0.1,100.0,94.0,100.0,91.0,55.50000000000001,89.33333333333333,56.99999999999999,57.49999999999999,31.47982348711249,40.0,41.97208943089431,78.0,49.8,80.0,88.8,83.0,35.483333333333334,12.608044733044736,12.122627372627374,11.6,3.6918224824333703,5.120656344076462,96.25,64.83333333333333,75.92,13.437747377585879,41.97208943089431,35.73991174355625,54.692180314228295
16384,flex,flex_gamma0.9_tau0.1,96.0,81.0,97.0,84.0,56.166666666666664,88.33333333333333,51.33333333333333,51.16666666666667,28.843509800798806,40.0,33.878674796747966,78.8,45.4,77.8,83.2,81.0,15.766666666666666,1.7763708513708514,2.558838383838384,3.6000000000000005,1.4948041676071053,3.274553357184937,89.5,61.75,73.24,4.745205571111324,33.878674796747966,34.42175490039941,49.589272544709786
16384,xflex,xflex_threshold0.95_scoreratio0.95,100.0,100.0,100.0,100.0,58.666666666666664,90.16666666666666,60.66666666666667,59.333333333333336,28.183095336036512,39.0,51.185349593495935,70.39999999999999,54.2,81.2,88.8,85.39999999999999,46.25000000000001,38.743290043290045,33.03779830420697,19.599999999999998,8.579978021092607,9.89370645001304,100.0,67.20833333333334,76.0,26.017462136433778,51.185349593495935,33.59154766801826,59.00044878854689
16384,xflex,xflex_threshold0.95_scoreratio0.5,100.0,98.0,100.0,100.0,58.333333333333336,90.5,59.66666666666667,59.166666666666664,28.405317558258737,40.0,50.83826016260162,71.2,55.2,81.8,89.2,85.6,42.866666666666674,39.417404817404815,35.03583959899749,19.8,7.464376941819309,7.734211416902722,99.5,66.91666666666666,76.6,25.386416573631834,50.83826016260162,34.202658779129365,58.90733369700491
16384,xflex,xflex_threshold0.95_scoreratio0.2,100.0,98.0,100.0,100.0,58.5,0.0,60.333333333333336,59.833333333333336,29.09335174629292,39.0,50.84272357723577,70.8,54.800000000000004,81.2,89.4,85.6,40.43333333333334,35.44404761904762,32.568834479360795,,,,99.5,44.66666666666667,76.36000000000001,36.14873847724726,50.84272357723577,34.04667587314646,56.927467432382706
16384,xflex,xflex_threshold0.5_scoreratio0.95,0.0,0.0,0.0,0.0,0.0,90.16666666666666,60.333333333333336,59.333333333333336,28.307278342572463,39.0,51.364,70.19999999999999,53.800000000000004,81.6,89.0,85.2,43.400000000000006,37.76471861471862,32.904066709004795,20.0,7.567957191645344,8.783442253300988,0.0,52.45833333333333,75.96000000000001,25.070030794778294,51.364,33.65363917128623,39.75100054989965
