Config,Config,Config,Recall,Recall,Recall,Recall,RAG,RAG,RAG,RAG,ICL,ICL,ICL,ICL,ICL,Cite,Cite,Cite,Cite,Cite,Cite,Re-rank,LongQA,LongQA,Recall,RAG,ICL,Cite,Re-rank,LongQA,Ours
,,,KeyValue,NIAH,NIAH,NIAH,,,,,Other,Other,Other,TREC,TREC,ASQA,ASQA,ASQA,QAMPARI,QAMPARI,QAMPARI,,InfBench,InfBench,Summary,Summary,Summary,Summary,Summary,Summary,
input_max_length,attention,tag,json_kv,niah_mk_2,niah_mk_3,niah_mv,hotpotqa,nq,popqa,triviaqa,banking77,clinic150,nlu,trec_coarse,trec_fine,asqa_citation_prec,asqa_citation_rec,asqa_str_em,qampari_citation_prec,qampari_citation_rec,qampari_rec_top5,msmarco_psg,infbench_choice,infbench_qa,avg_score,avg_score,avg_score,avg_score,avg_score,avg_score,
131072,flex,qwen_flex_gamma0.95_tau0.1,8.0,7.000000000000001,2.0,31.25,22.333333333333332,20.0,25.833333333333336,49.166666666666664,56.39999999999999,68.8,74.0,74.8,44.4,2.0,0.25,10.416666666666668,0.0,0.0,0.2,0.6571707317073172,31.0,6.696216561216561,12.0625,29.33333333333333,63.67999999999999,2.1444444444444444,0.6571707317073172,18.84810828060828,21.120926131682225
131072,full,qwen_full,10.0,8.0,1.0,26.75,21.0,21.166666666666668,26.833333333333332,53.666666666666664,71.2,83.8,78.0,78.4,49.6,1.1666666666666665,1.125,14.6,0.0,0.0,0.6000000000000001,1.0446991869918698,38.0,4.9788143126223625,11.4375,30.666666666666664,72.2,2.915277777777778,1.0446991869918698,21.48940715631118,23.29225846462458
131072,xattn,qwen_xattn_threshold0.95,7.000000000000001,8.0,1.0,27.0,23.666666666666668,22.666666666666664,26.333333333333332,52.666666666666664,66.8,81.6,75.0,75.8,51.0,0.0,0.0,11.683333333333334,0.0,0.0,0.4,0.8229674796747968,38.0,5.805799549607599,10.75,31.33333333333333,70.03999999999999,2.013888888888889,0.8229674796747968,21.9028997748038,22.810514912783464
131072,xattn_single,qwen_xattn_threshold0.95,7.000000000000001,8.0,1.0,27.0,23.666666666666668,22.666666666666664,26.333333333333332,52.666666666666664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,5.805799549607599,10.75,31.33333333333333,nan,nan,nan,21.9028997748038,21.32874436937904
131072,xattn_v5,qwen_xattn_v5_threshold0.95,7.000000000000001,3.0,1.0,25.5,23.0,22.5,26.333333333333332,54.333333333333336,65.8,80.4,75.2,74.6,47.8,0.3333333333333333,0.25,13.55,0.5,0.3333333333333333,0.2,0.9449268292682926,34.0,5.4420429243958655,9.125,31.541666666666664,68.76,2.527777777777778,0.9449268292682926,19.721021462197932,22.103398789318447
131072,xattn_v5_single,qwen_xattn_v5_threshold0.95,7.000000000000001,3.0,1.0,25.5,nan,22.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.125,22.5,nan,nan,nan,nan,15.8125
131072,xattn_v6,qwen_xattn_v6_threshold0.95,6.0,6.0,3.0,28.000000000000004,24.0,24.0,27.500000000000004,52.666666666666664,67.80000000000001,81.39999999999999,75.0,74.8,48.0,0.5,0.2222222222222222,13.55,0.0,0.0,0.4,0.6653170731707317,40.0,5.691970774323716,10.75,32.041666666666664,69.4,2.4453703703703704,0.6653170731707317,22.845985387161857,23.024723249561603
131072,xattn_v7,qwen_xattn_v7_threshold0.95,8.0,7.000000000000001,1.0,28.000000000000004,24.0,22.666666666666664,23.666666666666668,52.33333333333333,66.60000000000001,80.0,75.6,75.0,48.0,0.0,0.0,12.55,0.0,0.0,0.2,1.6050650406504066,42.0,5.506768612650966,11.0,30.666666666666664,69.04,2.125,1.6050650406504066,23.753384306325483,23.03168600227376
131072,xattn_v8,qwen_xattn_v8_threshold0.95,7.000000000000001,7.000000000000001,1.0,28.249999999999996,23.0,23.5,26.166666666666664,52.33333333333333,66.60000000000001,81.8,75.2,74.8,49.4,0.16666666666666666,0.09090909090909091,12.049999999999999,0.0,0.0,0.4,0.6646422764227643,39.0,5.5417062240591655,10.8125,31.249999999999996,69.56,2.117929292929293,0.6646422764227643,22.270853112029585,22.779320780230275
131072,xattn_v9,qwen_xattn_v9_threshold0.95,6.0,8.0,0.0,28.249999999999996,22.333333333333332,21.833333333333332,27.833333333333332,53.666666666666664,66.8,81.8,75.0,75.4,51.2,0.0,0.0,11.65,1.0,0.3333333333333333,0.4,0.8670162601626017,39.0,5.5238611062140475,10.5625,31.416666666666664,70.03999999999999,2.2305555555555556,0.8670162601626017,22.261930553107025,22.89644483924864
131072,xflex_v6,qwen_xflex_v6_threshold0.95_score0.001,7.000000000000001,5.0,3.0,27.500000000000004,24.0,24.166666666666668,28.000000000000004,52.666666666666664,67.0,81.8,75.4,74.8,47.8,0.0,0.0,12.75,0.0,0.0,0.6000000000000001,0.706048780487805,37.0,5.648928740105211,10.625,32.208333333333336,69.35999999999999,2.225,0.706048780487805,21.324464370052606,22.741474413978953
